Price,Bedroom,Bathroom,Floors,Area,Road_Width,Amenities_Count,Property_Age,City_Bhaktapur,City_Chitwan,City_Dharan,City_Jhapa,City_Kathmandu,City_Lalitpur,City_Nawalparasi,City_Pokhara,Road_Type_Gravelled,Road_Type_Paved,Road_Type_Soil Stabilized,Neighborhood_encoded
22000000.0,5,3,2.5,3.5,20.0,10,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
21500000.0,4,3,2.5,4.0,20.0,9,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
19500000.0,4,3,2.5,3.5,20.0,9,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
19000000.0,4,3,2.5,3.0,13.0,8,6,0,0,0,0,0,1,0,0,1,0,0,0.0005803830528148578
18000000.0,4,3,2.5,3.0,13.0,0,6,0,0,0,0,0,1,0,0,1,0,0,0.0005803830528148578
37000000.0,8,5,3.0,5.4375,12.0,4,5,0,0,0,0,1,0,0,0,1,0,0,0.003869220352099052
34000000.0,6,3,3.0,4.0,12.0,5,5,0,0,0,0,1,0,0,0,1,0,0,0.003869220352099052
26000000.0,8,4,3.0,4.125,16.0,11,7,0,0,0,0,1,0,0,0,1,0,0,0.0015476881408396208
22000000.0,5,3,3.0,6.5,10.0,4,8,0,0,0,0,1,0,0,0,0,0,1,0.0007738440704198104
23000000.0,7,3,3.0,4.0,10.0,1,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
15500000.0,5,2,3.0,3.625,13.0,1,8,0,0,0,0,1,0,0,0,0,0,1,0.0015476881408396208
57500000.0,0,0,3.0,6.25,12.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0036757593344940993
90000000.0,5,5,3.0,10.0,20.0,7,8,0,0,0,0,1,0,0,0,0,0,1,0.14103308183401045
17000000.0,4,3,2.5,4.0,10.0,11,6,0,0,0,0,1,0,0,0,0,1,0,0.1313600309537628
12500000.0,2,1,1.5,3.25,13.0,6,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
