City,Price,Bedroom,Bathroom,Floors,Area,Road_Width,Road_Type,Neighborhood,Amenities_Count,Property_Age
Kathmandu,4500000,0,0,3,8,16,Paved,chabahil,0,8
Kathmandu,3700000,0,0,3,9,16,Gravelled,budhanilkantha,0,8
Kathmandu,39500000,0,0,4,6,18,Paved,ratopul,20,8
Pokhara,70000,0,2,3,4.674945215,0,Soil Stabilized,mahendrapul,0,8
Kathmandu,5000000,0,0,3,10,16,Gravelled,basbari,0,8
Kathmandu,37000000,5,6,3,4,20,Paved,golfutar,6,6
Pokhara,40000,0,0,3,2.337472608,0,Soil Stabilized,mahendrapul,0,8
Lalitpur,25600000,0,0,4,4,10,Gravelled,dhapakhel,9,69
Lalitpur,78000,4,4,3,5,0,Soil Stabilized,jawalakhel,10,8
Kathmandu,36500000,5,4,2,6.25,20,Paved,budhanilkantha.,30,62
Kathmandu,102500000,5,0,2,19,20,Paved,80 meter from highway,30,8
Kathmandu,22500000,5,3,3,3.25,14,Paved,sanobharyang,25,62
Kathmandu,23500000,5,3,3,3,15,Paved,sano bharyang,25,62
Kathmandu,22500000,4,3,3,3.1875,15,Gravelled,budhanilkantha,24,6
Kathmandu,32500000,5,4,3,4,15,Gravelled,budhanilkantha,26,62
Kathmandu,42500000,5,0,3,12,15,Paved,budhanilkantha,24,8
Kathmandu,11000000,10,3,2,4,3,Soil Stabilized,thankot,2,10
Kathmandu,42500000,5,3,2,5,12,Paved,sukedhara,26,8
Kathmandu,35000000,5,4,2,6,18,Gravelled,budhanilkantha,26,62
Kathmandu,2200000,0,0,3,5,20,Paved,tokha,0,8
Kathmandu,2400000,0,0,3,5,16,Paved,chapali,0,8
Kathmandu,2400000,0,0,3,5,12,Gravelled,budhanilkantha,0,8
Kathmandu,6000000,0,0,3,5,13,Gravelled,maijubahal,0,8
Kathmandu,2700000,0,0,3,13,13,Paved,golfutar,0,8
Kathmandu,2300000,0,0,3,6,20,Paved,tokha,0,8
Kathmandu,37000000,5,5,3,4,20,Paved,golfutar,7,6
Kathmandu,45000000,6,6,3,6,20,Paved,sukedhara,6,6
Lalitpur,39000000,2,1,1,11,0,Soil Stabilized,baghdol,9,8
Kathmandu,17000000,5,3,3,3.75,12,Paved,manmaiju,5,8
Kathmandu,100000,5,4,3,11,0,Soil Stabilized,maharajgunj,5,8
Lalitpur,75000,3,3,3,5.5,0,Soil Stabilized,bhaisepati,5,8
Kathmandu,16500000,6,3,2.5,3,10,Gravelled,goldhunga,7,6
Kathmandu,20500000,4,4,2.5,3.75,13,Paved,sitapaila,11,6
Lalitpur,25000000,7,6,3,4.75,13,Paved,imadol,10,62
Bhaktapur,12500000,0,0,2,3,16,Soil Stabilized,gatthaghar,1,8
Lalitpur,21000000,4,5,1,4,20,Gravelled,imadol,0,63
Kathmandu,60000,0,4,3,2.629656684,98.4252,Paved,koteshwor,2,67
Bhaktapur,3500000,0,0,3,12.5,1640.42,Soil Stabilized,changunarayan,0,8
Kathmandu,2500000,0,0,3,4,12,Gravelled,budhanilkantha,2,8
Kathmandu,18000000,6,3,3,5,13,Paved,kapan,14,12
Lalitpur,35200000,4,4,3,5.5,20,Paved,bhaisepati,7,62
Kathmandu,35000,3,2,3,10,0,Soil Stabilized,swayambhu,4,8
Lalitpur,37100000,4,4,3,6,20,Paved,bhaisepati,5,62
Kathmandu,55000000,4,5,3,5,14,Paved,gairidhara,7,8
Lalitpur,34500000,4,4,3,5.25,20,Paved,bhaisepati,7,62
Kathmandu,45000000,5,6,3,6,13,Paved,budhanilkantha,10,7
Kathmandu,22500000,6,5,3,3.1,14,Gravelled,sanobharyang,5,6
Lalitpur,30000,3,2,4,8,10,Paved,imadol,8,64
Lalitpur,700000,0,0,3,4.375,0,Paved,lele,0,8
Kathmandu,23500000,6,5,3,3,13,Paved,swayambhu,1,6
Kathmandu,102500000,6,6,3,19,13,Paved,golfutar,15,6
Lalitpur,28200000,4,4,2,4.25,40,Paved,bhaisepati,8,62
Kathmandu,13000000,2,1,1,3.5,10,Gravelled,kadaghari,3,68
Kathmandu,32500000,5,5,3,4,13,Paved,budhanilkantha,1,6
Kathmandu,26000000,11,9,3,5,13,Paved,satungal,12,8
Kathmandu,24000000,7,8,4,5,13,Gravelled,chapali,1,17
Lalitpur,17700000,3,4,2.5,2.5,12,Paved,dhapakhel,13,8
Kathmandu,2200000,1,1,1,12.5,10,Gravelled,hariyali samaaj,3,66
Kathmandu,16800000,5,5,3,3,14,Gravelled,pasikot,1,8
Kathmandu,34000000,6,6,3,5.5,30,Paved,budhanilkantha,2,6
Kathmandu,200000,5,4,3,3.625,14,Paved,budhanilkantha,12,68
Kathmandu,42500000,5,6,3,12,14,Gravelled,chapali,10,11
Kathmandu,41000000,7,3,2.5,5,10,Paved,baluwatar,13,16
Kathmandu,1300000,0,0,3,7.2,0,Soil Stabilized,alubari,0,8
Kathmandu,15000000,3,3,3,8.2,4,Soil Stabilized,matatirtha,1,8
Lalitpur,37500000,8,6,4,7.25,12,Paved,sainbu,17,75
Kathmandu,16000000,5,3,2.5,3,13,Paved,tinthana,14,6
Lalitpur,55000,2,1,3,5,0,Soil Stabilized,jawalakhel,0,8
Kathmandu,500000,22,4,3,10,0,Soil Stabilized,naxal,0,8
Kathmandu,15000000,4,4,3,3.2,0,Soil Stabilized,kapan,1,68
Lalitpur,21500000,6,4,2.5,4,20,Paved,tikathali,13,6
Kathmandu,60000000,5,5,2.5,6,13,Paved,baluwatar,13,8
Kathmandu,4200000,0,0,3,6.75,13,Paved,gaurighat,3,8
Kathmandu,4200000,0,0,3,9,13,Gravelled,gaurighat,3,8
Kathmandu,4500000,0,0,3,5.4375,20,Paved,gaurighat,3,8
Kathmandu,4200000,0,0,3,9,13,Paved,gaurighat,1,8
Kathmandu,6000000,0,0,3,3.5625,26,Paved,gaurighat,1,8
Kathmandu,750000,0,0,3,4,0,Soil Stabilized,samakhusi,0,8
Lalitpur,30000000,4,4,3,3,0,Soil Stabilized,bhaisepati,6,8
Kathmandu,81000000,6,6,3,21,15,Gravelled,pasikot,15,10
Kathmandu,55000000,5,5,2,12,22,Paved,pasikot,10,13
Kathmandu,13000000,6,2,3,3,23,Paved,thankot,5,81
Kathmandu,30000000,4,3,3,3,0,Soil Stabilized,bafal,0,8
Kathmandu,225000,0,3,2,7,16,Paved,soltimode,6,62
Kathmandu,17500000,5,4,3,3.25,15,Soil Stabilized,nagarjun,16,8
Kathmandu,1450000,0,0,3,4.5,13,Soil Stabilized,chandragiri,0,8
Kathmandu,65000000,6,5,2,12,12,Paved,naxal,16,8
Kathmandu,9500000,3,1,3,3,13,Gravelled,chandragiri,0,6
Kathmandu,9000000,6,3,3,6.375,10,Paved,thapathali,10,18
Kathmandu,2900000,0,0,3,14,20,Gravelled,hattigauda,0,8
Kathmandu,80000000,16,10,4,9,8,Paved,panchashil galli,14,72
Lalitpur,20000000,3,3,3,3,0,Soil Stabilized,imadol,1,8
Pokhara,15000,0,0,3,5,12,Paved,pratibha marga,2,9
Kathmandu,31000000,7,3,3,4,10,Paved,bafal,12,68
Kathmandu,495000,0,0,3,3.214024836,0,Soil Stabilized,baneshwor,3,8
Kathmandu,200000,5,4,3,12,0,Soil Stabilized,budhanilkantha,12,8
Kathmandu,15000,2,1,3,3.506208912,12,Paved,sungava tole gate 5,0,65
Lalitpur,19500000,5,3,3,3,20,Soil Stabilized,imadol,11,8
Kathmandu,60000,3,4,2,7,0,Soil Stabilized,chovar,6,63
Kathmandu,65000000,5,4,2,8,20,Paved,kunwar colony,25,6
Kathmandu,150000000,6,6,2,20,18,Paved,budhanilkantha,20,8
Kathmandu,3500000,0,0,3,10,16,Paved,budhanilkantha,0,8
Kathmandu,235000000,5,7,2,96,18,Paved,budhanilkantha,29,8
Kathmandu,3500000,0,0,3,8,15,Paved,budhanilkantha,0,8
Kathmandu,37000000,6,6,3,6,16,Paved,400 meters from main highway,24,7
Kathmandu,19000000,4,3,2,3,15,Paved,bhangal,16,6
Kathmandu,105000000,6,5,3,12,16,Paved,beside subisu office,23,8
Kathmandu,4500000,0,0,3,10,25,Paved,budhanilkantha.,0,8
Kathmandu,3400000,0,0,3,6,16,Paved,150 mtr from highway,0,8
Lalitpur,280000,5,5,3,2.75,0,Soil Stabilized,bakhundol,3,63
Kathmandu,65000000,5,6,3,8,22,Paved,dhapasi,10,6
Lalitpur,25000,2,2,1,2.92184076,0,Soil Stabilized,kusunti,7,8
Lalitpur,19500000,5,3,2.5,3.25,20,Paved,imadol,12,6
Kathmandu,24000000,8,5,3,4,14,Paved,aadeswor,6,63
Kathmandu,200000,4,4,3,5,0,Soil Stabilized,budhanilkantha,6,8
Kathmandu,95000,4,2,2,6.5,12,Gravelled,bhangal,11,63
Bhaktapur,35000000,3,4,3,4.75,30,Paved,madhyapur thimi,4,10
Kathmandu,250000,17,19,3,6,0,Soil Stabilized,khusibu,4,8
Lalitpur,60000,4,3,3,3,0,Soil Stabilized,dhapakhel,13,8
Lalitpur,20000000,5,2,4,5,15,Gravelled,tikathali,4,6
Lalitpur,23500000,6,4,3,4,13,Gravelled,imadol,13,10
Kathmandu,24000000,4,4,2,3.9375,18,Paved,narayantar,7,72
Lalitpur,80000,4,3,3,5.355734112,0,Soil Stabilized,sanepa,7,8
Kathmandu,16000,2,1,3,6,7,Gravelled,thankot,6,73
Lalitpur,40000000,4,4,3,9.375,492.126,Paved,tikathali,12,76
Kathmandu,3000000,0,0,3,12.02,21,Soil Stabilized,paiyutar,0,8
Lalitpur,25000,2,2,3,14,0,Soil Stabilized,bhaisepati,0,8
Bhaktapur,39999999,4,3,3,5.125,28,Paved,balkot,28,11
Lalitpur,60000,2,2,3,5,0,Soil Stabilized,bhaisepati,6,8
Kathmandu,65000,3,3,3,6,0,Soil Stabilized,sitapaila,7,8
Kathmandu,43500000,7,3,3,7.75,13,Paved,shantinagar,10,8
Lalitpur,15000,1,1,3,3,0,Soil Stabilized,dhobighat,0,8
Lalitpur,25000,4,2,3,3,0,Soil Stabilized,sanepa,0,8
Lalitpur,20000,1,1,3,3,0,Soil Stabilized,dhobighat,0,8
Lalitpur,100000,4,4,3,4,0,Soil Stabilized,karyabinayak,5,8
Jhapa,430000,0,0,3,14.37545654,32,Paved,damak,0,8
Kathmandu,3500000,0,0,3,10,15,Paved,budhanilkantha,0,8
Kathmandu,20000,2,1,3,6,10,Gravelled,basundhara,5,70
Lalitpur,2700000,0,0,3,8,14,Gravelled,imadol,0,8
Lalitpur,150000,4,4,3,4.5,0,Soil Stabilized,bhaisepati,8,8
Kathmandu,15000,0,0,3,6.428049671,0,Soil Stabilized,baneshwor,1,8
Lalitpur,60000,2,2,3,5,0,Soil Stabilized,civil homes,7,8
Kathmandu,45000000,0,4,3,6,20,Paved,30 meter from highway,20,8
Kathmandu,85000000,5,6,3,13,20,Paved,samakhusi,1,13
Kathmandu,160000000,6,6,3,21,20,Paved,budhanilkantha,1,6
Kathmandu,61000000,12,8,4,11,13,Paved,samakhusi,4,13
Kathmandu,45000000,6,6,3,6,15,Paved,golfutar,6,7
Kathmandu,49500000,5,5,3,4.5,14,Paved,chabahil,1,9
Kathmandu,24000000,6,6,3,3.5,15,Paved,baniyatar,1,6
Kathmandu,22500000,5,5,3,2.5,14,Paved,basundhara,1,7
Kathmandu,69000000,5,5,3,12,22,Paved,700 meter out from ring road.,24,8
Kathmandu,68000000,0,0,3,8,30,Paved,sitapaila,0,8
Kathmandu,62000000,5,6,3,17,14,Gravelled,budhanilkantha,9,7
Kathmandu,69000000,7,7,3,12,20,Paved,dhapasi,9,8
Kathmandu,45000000,6,7,3,6,15,Paved,golfutar,7,7
Kathmandu,65000000,6,5,2,12,16,Paved,400 meter from bhatbhateni.,24,8
Kathmandu,42000000,8,7,4,6,20,Paved,sukedhara,9,8
Lalitpur,13000000,2,1,1.35,3.5,10,Gravelled,imadol,0,6
Lalitpur,12700000,2,1,1.5,3.1875,10,Gravelled,imadol,8,6
Lalitpur,11000000,2,1,1.5,2.5,16,Gravelled,imadol,0,6
Lalitpur,12000000,2,1,1.5,3,13,Gravelled,imadol,8,6
Lalitpur,65000,4,3,3,6,0,Soil Stabilized,civil homes,0,8
Lalitpur,12500000,2,1,1.5,3.8125,13,Gravelled,tikathali,11,6
Kathmandu,19000000,8,4,3,3.5,10,Gravelled,sagarmatha chwok,10,9
Lalitpur,11500000,2,1,1.5,2.875,13,Gravelled,buddha party palace,5,6
Chitwan,80000,6,3,3,7.888970051,26,Paved,bharatpur,5,63
Lalitpur,60000,3,2,3,3.447772096,24,Paved,dhapakhel,2,67
Lalitpur,15000000,2,1,1.5,4.125,16,Paved,tikathali,7,6
